# epoch;step;loss
1.000;85.000;0.023
1.000;86.000;0.131
1.000;87.000;0.117
1.000;88.000;0.091
1.000;89.000;0.097
1.000;90.000;0.136
1.000;91.000;0.031
1.000;92.000;0.049
1.000;93.000;0.039
1.000;94.000;0.050
1.000;95.000;0.025
1.000;96.000;0.080
1.000;97.000;0.039
1.000;98.000;0.100
1.000;99.000;0.107
1.000;100.000;0.087
1.000;101.000;0.086
1.000;102.000;0.126
1.000;103.000;0.080
1.000;104.000;0.088
1.000;105.000;0.019
1.000;106.000;0.171
1.000;107.000;0.057
1.000;108.000;0.039
1.000;109.000;0.057
1.000;110.000;0.120
1.000;111.000;0.106
1.000;112.000;0.102
1.000;113.000;0.036
1.000;114.000;0.087
1.000;115.000;0.129
1.000;116.000;0.119
1.000;117.000;0.099
1.000;118.000;0.086
1.000;119.000;0.167
1.000;120.000;0.044
1.000;121.000;0.122
1.000;122.000;0.118
1.000;123.000;0.087
1.000;124.000;0.029
1.000;125.000;0.108
1.000;126.000;0.070
1.000;127.000;0.075
1.000;128.000;0.085
1.000;129.000;0.094
1.000;130.000;0.094
1.000;131.000;0.091
1.000;132.000;0.080
1.000;133.000;0.067
1.000;134.000;0.056
1.000;135.000;0.090
1.000;136.000;0.084
1.000;137.000;0.099
1.000;138.000;0.067
1.000;139.000;0.112
1.000;140.000;0.049
1.000;141.000;0.051
1.000;142.000;0.065
1.000;143.000;0.048
1.000;144.000;0.070
1.000;145.000;0.061
1.000;146.000;0.102
2.000;0.000;0.012
2.000;1.000;0.104
2.000;2.000;0.074
2.000;3.000;0.019
2.000;4.000;0.086
2.000;5.000;0.073
2.000;6.000;0.074
2.000;7.000;0.095
2.000;8.000;0.114
2.000;9.000;0.027
2.000;10.000;0.067
2.000;11.000;0.087
2.000;12.000;0.056
2.000;13.000;0.097
2.000;14.000;0.129
2.000;15.000;0.091
2.000;16.000;0.106
2.000;17.000;0.038
2.000;18.000;0.067
2.000;19.000;0.074
2.000;20.000;0.123
2.000;21.000;0.157
2.000;22.000;0.043
2.000;23.000;0.089
2.000;24.000;0.081
2.000;25.000;0.127
2.000;26.000;0.055
2.000;27.000;0.111
2.000;28.000;0.052
2.000;29.000;0.017
2.000;30.000;0.101
2.000;31.000;0.098
2.000;32.000;0.080
2.000;33.000;0.121
2.000;34.000;0.060
2.000;35.000;0.075
2.000;36.000;0.044
2.000;37.000;0.096
2.000;38.000;0.070
2.000;39.000;0.071
2.000;40.000;0.028
2.000;41.000;0.077
2.000;42.000;0.123
2.000;43.000;0.053
2.000;44.000;0.047
2.000;45.000;0.077
2.000;46.000;0.086
2.000;47.000;0.138
2.000;48.000;0.066
2.000;49.000;0.076
2.000;50.000;0.058
2.000;51.000;0.053
2.000;52.000;0.129
2.000;53.000;0.121
2.000;54.000;0.056
2.000;55.000;0.076
2.000;56.000;0.069
2.000;57.000;0.133
2.000;58.000;0.104
2.000;59.000;0.067
2.000;60.000;0.075
2.000;61.000;0.019
2.000;62.000;0.078
2.000;63.000;0.096
2.000;64.000;0.097
2.000;65.000;0.095
2.000;66.000;0.128
2.000;67.000;0.115
2.000;68.000;0.064
2.000;69.000;0.098
2.000;70.000;0.067
2.000;71.000;0.060
2.000;72.000;0.027
2.000;73.000;0.104
2.000;74.000;0.059
2.000;75.000;0.026
2.000;76.000;0.089
2.000;77.000;0.043
2.000;78.000;0.061
2.000;79.000;0.079
2.000;80.000;0.106
2.000;81.000;0.049
2.000;82.000;0.235
2.000;83.000;2.020
2.000;84.000;0.848
2.000;85.000;8.014
2.000;86.000;0.423
2.000;87.000;1.960
2.000;88.000;0.934
2.000;89.000;1.522
2.000;90.000;2.900
2.000;91.000;0.953
2.000;92.000;9.417
2.000;93.000;0.348
2.000;94.000;26.062
2.000;95.000;19.287
2.000;96.000;7.302
2.000;97.000;4.851
2.000;98.000;355.205
2.000;99.000;194.543
2.000;100.000;53.987
2.000;101.000;31.468
2.000;102.000;33.035
2.000;103.000;924.149
2.000;104.000;141.829
2.000;105.000;529.776
2.000;106.000;370.995
2.000;107.000;4742.721
2.000;108.000;480.783
2.000;109.000;7257.539
2.000;110.000;152.765
2.000;111.000;1473.626
2.000;112.000;554.719
2.000;113.000;307.438
2.000;114.000;1221.385
2.000;115.000;42625.809
2.000;116.000;1344.108
2.000;117.000;17747.973
2.000;118.000;697.546
2.000;119.000;5642.850
2.000;120.000;8262.200
2.000;121.000;50103.977
2.000;122.000;149189.703
2.000;123.000;12209.719
2.000;124.000;8007.805
2.000;125.000;413.762
2.000;126.000;7476.148
2.000;127.000;6089.996
2.000;128.000;10196.161
2.000;129.000;33885.461
2.000;130.000;27653.748
2.000;131.000;181045.125
2.000;132.000;187009.047
2.000;133.000;11048.237
2.000;134.000;1096.746
2.000;135.000;1765.395
2.000;136.000;54193.219
2.000;137.000;8464.315
2.000;138.000;5722.740
2.000;139.000;4319.968
2.000;140.000;13662.150
2.000;141.000;20195.621
2.000;142.000;11886.053
2.000;143.000;23305.266
2.000;144.000;33919.520
2.000;145.000;40115.805
2.000;146.000;1958.933
3.000;0.000;8758.302
3.000;1.000;15371.553
3.000;2.000;3681.726
3.000;3.000;1824.012
3.000;4.000;1859.020
3.000;5.000;4288.104
3.000;6.000;1864.612
3.000;7.000;4388.833
3.000;8.000;3480.990
3.000;9.000;1492.969
3.000;10.000;5649.278
3.000;11.000;1275.805
3.000;12.000;5361.701
3.000;13.000;5241.076
3.000;14.000;2211.514
3.000;15.000;354.270
3.000;16.000;366.010
3.000;17.000;186.998
3.000;18.000;533.174
3.000;19.000;953.095
3.000;20.000;1042.580
3.000;21.000;644.632
3.000;22.000;301.452
3.000;23.000;53.905
3.000;24.000;139.740
3.000;25.000;189.259
3.000;26.000;115.898
3.000;27.000;72.653
3.000;28.000;159.441
3.000;29.000;204.480
3.000;30.000;228.717
3.000;31.000;172.912
3.000;32.000;122.588
3.000;33.000;50.256
3.000;34.000;118.430
3.000;35.000;124.935
3.000;36.000;132.618
3.000;37.000;83.895
3.000;38.000;29.868
3.000;39.000;22.928
3.000;40.000;45.709
3.000;41.000;45.584
3.000;42.000;33.686
3.000;43.000;17.912
3.000;44.000;15.459
3.000;45.000;36.902
3.000;46.000;42.932
3.000;47.000;51.138
3.000;48.000;48.294
3.000;49.000;34.490
3.000;50.000;21.311
3.000;51.000;12.773
3.000;52.000;9.768
3.000;53.000;16.964
3.000;54.000;16.123
3.000;55.000;14.703
3.000;56.000;7.615
3.000;57.000;1.811
3.000;58.000;7.412
3.000;59.000;11.302
3.000;60.000;9.905
3.000;61.000;6.203
3.000;62.000;2.840
3.000;63.000;3.499
3.000;64.000;7.011
3.000;65.000;8.021
3.000;66.000;6.171
3.000;67.000;3.014
3.000;68.000;2.805
3.000;69.000;4.316
3.000;70.000;4.827
3.000;71.000;3.839
3.000;72.000;2.637
3.000;73.000;1.710
3.000;74.000;2.015
3.000;75.000;2.933
3.000;76.000;2.202
3.000;77.000;1.121
3.000;78.000;1.284
3.000;79.000;1.360
3.000;80.000;1.368
3.000;81.000;1.550
3.000;82.000;1.449
3.000;83.000;1.171
3.000;84.000;1.149
3.000;85.000;1.294
3.000;86.000;1.534
3.000;87.000;1.244
3.000;88.000;0.917
3.000;89.000;1.107
3.000;90.000;0.942
3.000;91.000;0.894
3.000;92.000;0.914
3.000;93.000;0.743
3.000;94.000;0.840
3.000;95.000;0.609
3.000;96.000;0.702
3.000;97.000;0.739
3.000;98.000;0.575
3.000;99.000;0.584
3.000;100.000;0.627
3.000;101.000;0.657
3.000;102.000;0.550
3.000;103.000;0.556
3.000;104.000;0.463
3.000;105.000;0.469
3.000;106.000;0.467
3.000;107.000;0.421
3.000;108.000;0.463
3.000;109.000;0.398
3.000;110.000;0.409
3.000;111.000;0.438
3.000;112.000;0.375
3.000;113.000;0.377
3.000;114.000;0.340
3.000;115.000;0.378
3.000;116.000;0.346
3.000;117.000;0.367
3.000;118.000;0.338
3.000;119.000;0.296
3.000;120.000;0.358
3.000;121.000;0.274
3.000;122.000;0.327
3.000;123.000;0.355
3.000;124.000;0.280
3.000;125.000;0.293
3.000;126.000;0.300
3.000;127.000;0.246
3.000;128.000;0.247
3.000;129.000;0.314
3.000;130.000;0.312
3.000;131.000;0.293
3.000;132.000;0.316
3.000;133.000;0.228
3.000;134.000;0.268
3.000;135.000;0.253
3.000;136.000;0.311
3.000;137.000;0.209
3.000;138.000;0.173
3.000;139.000;0.215
3.000;140.000;0.198
3.000;141.000;0.149
3.000;142.000;0.211
3.000;143.000;0.213
3.000;144.000;0.157
3.000;145.000;0.190
3.000;146.000;0.206
4.000;0.000;0.167
4.000;1.000;0.203
4.000;2.000;0.160
4.000;3.000;0.170
4.000;4.000;0.100
4.000;5.000;0.148
4.000;6.000;0.179
4.000;7.000;0.181
4.000;8.000;0.150
4.000;9.000;0.164
4.000;10.000;0.125
4.000;11.000;0.116
4.000;12.000;0.161
4.000;13.000;0.126
4.000;14.000;0.105
4.000;15.000;0.136
4.000;16.000;0.068
4.000;17.000;0.148
4.000;18.000;0.104
4.000;19.000;0.126
4.000;20.000;0.135
4.000;21.000;0.119
4.000;22.000;0.082
4.000;23.000;0.160
4.000;24.000;0.113
4.000;25.000;0.123
4.000;26.000;0.144
4.000;27.000;0.120
4.000;28.000;0.097
4.000;29.000;0.197
4.000;30.000;0.171
4.000;31.000;0.094
4.000;32.000;0.068
4.000;33.000;0.177
4.000;34.000;0.094
4.000;35.000;0.147
4.000;36.000;0.079
4.000;37.000;0.161
4.000;38.000;0.110
4.000;39.000;0.107
4.000;40.000;0.100
4.000;41.000;0.133
4.000;42.000;0.170
4.000;43.000;0.125
4.000;44.000;0.130
4.000;45.000;0.069
4.000;46.000;0.080
4.000;47.000;0.117
4.000;48.000;0.120
4.000;49.000;0.100
4.000;50.000;0.141
4.000;51.000;0.135
4.000;52.000;0.131
4.000;53.000;0.080
4.000;54.000;0.090
4.000;55.000;0.116
4.000;56.000;0.074
4.000;57.000;0.085
4.000;58.000;0.187
4.000;59.000;0.080
4.000;60.000;0.050
4.000;61.000;0.051
4.000;62.000;0.092
4.000;63.000;0.170
4.000;64.000;0.092
4.000;65.000;0.138
4.000;66.000;0.141
4.000;67.000;0.056
4.000;68.000;0.098
4.000;69.000;0.099
4.000;70.000;0.115
4.000;71.000;0.094
4.000;72.000;0.058
4.000;73.000;0.100
4.000;74.000;0.056
4.000;75.000;0.088
4.000;76.000;0.099
4.000;77.000;0.100
4.000;78.000;0.129
4.000;79.000;0.127
4.000;80.000;0.113
4.000;81.000;0.082
4.000;82.000;0.089
4.000;83.000;0.072
4.000;84.000;0.046
4.000;85.000;0.066
4.000;86.000;0.103
4.000;87.000;0.106
4.000;88.000;0.119
4.000;89.000;0.056
4.000;90.000;0.065
4.000;91.000;0.108
4.000;92.000;0.115
4.000;93.000;0.082
4.000;94.000;0.111
4.000;95.000;0.078
4.000;96.000;0.146
4.000;97.000;0.143
4.000;98.000;0.088
4.000;99.000;0.131
4.000;100.000;0.112
4.000;101.000;0.104
4.000;102.000;0.125
4.000;103.000;0.179
4.000;104.000;0.096
4.000;105.000;0.105
4.000;106.000;0.160
4.000;107.000;0.084
4.000;108.000;0.144
4.000;109.000;0.146
4.000;110.000;0.107
4.000;111.000;0.128
4.000;112.000;0.127
4.000;113.000;0.098
4.000;114.000;0.066
4.000;115.000;0.108
4.000;116.000;0.086
4.000;117.000;0.187
4.000;118.000;0.055
4.000;119.000;0.117
4.000;120.000;0.067
4.000;121.000;0.104
4.000;122.000;0.154
4.000;123.000;0.118
4.000;124.000;0.134
4.000;125.000;0.099
4.000;126.000;0.070
4.000;127.000;0.105
4.000;128.000;0.076
4.000;129.000;0.095
4.000;130.000;0.086
4.000;131.000;0.141
4.000;132.000;0.161
4.000;133.000;0.102
4.000;134.000;0.130
4.000;135.000;0.100
4.000;136.000;0.112
4.000;137.000;0.133
4.000;138.000;0.098
4.000;139.000;0.113
4.000;140.000;0.116
4.000;141.000;0.113
4.000;142.000;0.108
4.000;143.000;0.111
4.000;144.000;0.123
4.000;145.000;0.055
4.000;146.000;0.076
5.000;0.000;0.078
5.000;1.000;0.054
5.000;2.000;0.095
5.000;3.000;0.095
5.000;4.000;0.099
5.000;5.000;0.056
5.000;6.000;0.081
5.000;7.000;0.077
5.000;8.000;0.112
5.000;9.000;0.051
5.000;10.000;0.129
5.000;11.000;0.062
5.000;12.000;0.035
5.000;13.000;0.128
5.000;14.000;0.066
5.000;15.000;0.066
5.000;16.000;0.072
5.000;17.000;0.058
5.000;18.000;0.066
5.000;19.000;0.095
5.000;20.000;0.104
5.000;21.000;0.092
5.000;22.000;0.123
5.000;23.000;0.125
5.000;24.000;0.149
5.000;25.000;0.148
5.000;26.000;0.060
5.000;27.000;0.085
5.000;28.000;0.135
5.000;29.000;0.119
5.000;30.000;0.137
5.000;31.000;0.054
5.000;32.000;0.077
5.000;33.000;0.124
5.000;34.000;0.063
5.000;35.000;0.113
5.000;36.000;0.074
5.000;37.000;0.092
5.000;38.000;0.078
5.000;39.000;0.119
5.000;40.000;0.088
5.000;41.000;0.113
5.000;42.000;0.105
5.000;43.000;0.082
5.000;44.000;0.085
5.000;45.000;0.077
5.000;46.000;0.060
5.000;47.000;0.059
5.000;48.000;0.108
5.000;49.000;0.102
5.000;50.000;0.078
5.000;51.000;0.092
5.000;52.000;0.099
5.000;53.000;0.081
5.000;54.000;0.101
5.000;55.000;0.192
5.000;56.000;0.152
5.000;57.000;0.137
5.000;58.000;0.089
5.000;59.000;0.120
5.000;60.000;0.126
5.000;61.000;0.093
5.000;62.000;0.109
5.000;63.000;0.059
5.000;64.000;0.106
5.000;65.000;0.082
5.000;66.000;0.143
5.000;67.000;0.122
5.000;68.000;0.120
5.000;69.000;0.080
5.000;70.000;0.099
5.000;71.000;0.108
5.000;72.000;0.090
5.000;73.000;0.090
5.000;74.000;0.093
5.000;75.000;0.076
5.000;76.000;0.040
5.000;77.000;0.062
5.000;78.000;0.097
5.000;79.000;0.210
5.000;80.000;0.213
5.000;81.000;0.104
5.000;82.000;0.106
5.000;83.000;0.059
5.000;84.000;0.070
5.000;85.000;0.110
5.000;86.000;0.099
5.000;87.000;0.084
5.000;88.000;0.056
5.000;89.000;0.139
5.000;90.000;0.169
5.000;91.000;0.070
5.000;92.000;0.114
5.000;93.000;0.063
5.000;94.000;0.095
5.000;95.000;0.108
5.000;96.000;0.102
5.000;97.000;0.070
5.000;98.000;0.121
