# epoch;step;loss
0.000;0.000;0.493
0.000;1.000;1.208
0.000;2.000;0.376
0.000;3.000;0.504
0.000;4.000;0.410
0.000;5.000;0.287
0.000;6.000;0.315
0.000;7.000;0.249
0.000;8.000;0.170
0.000;9.000;0.083
0.000;10.000;0.163
0.000;11.000;0.116
0.000;12.000;0.138
0.000;13.000;0.141
0.000;14.000;0.142
0.000;15.000;0.068
0.000;16.000;0.149
0.000;17.000;0.102
0.000;18.000;0.070
0.000;19.000;0.050
0.000;20.000;0.061
0.000;21.000;0.132
0.000;22.000;0.087
0.000;23.000;0.074
0.000;24.000;0.075
0.000;25.000;0.040
0.000;26.000;0.097
0.000;27.000;0.054
0.000;28.000;0.106
0.000;29.000;0.068
0.000;30.000;0.039
0.000;31.000;0.036
0.000;32.000;0.082
0.000;33.000;0.033
0.000;34.000;0.017
0.000;35.000;0.017
0.000;36.000;0.019
0.000;37.000;0.031
0.000;38.000;0.018
0.000;39.000;0.040
0.000;40.000;0.040
0.000;41.000;0.030
0.000;42.000;0.017
0.000;43.000;0.074
0.000;44.000;0.007
0.000;45.000;0.033
0.000;46.000;0.023
0.000;47.000;0.016
0.000;48.000;0.013
0.000;49.000;0.034
0.000;50.000;0.010
0.000;51.000;0.022
0.000;52.000;0.074
0.000;53.000;0.068
0.000;54.000;0.018
0.000;55.000;0.038
0.000;56.000;0.009
0.000;57.000;0.006
0.000;58.000;0.021
0.000;59.000;0.007
0.000;60.000;0.011
0.000;61.000;0.041
0.000;62.000;0.006
0.000;63.000;0.065
0.000;64.000;0.043
0.000;65.000;0.018
0.000;66.000;0.068
0.000;67.000;0.048
0.000;68.000;0.020
0.000;69.000;0.040
0.000;70.000;0.012
0.000;71.000;0.043
0.000;72.000;0.010
0.000;73.000;0.035
0.000;74.000;0.009
0.000;75.000;0.033
0.000;76.000;0.010
0.000;77.000;0.018
0.000;78.000;0.017
0.000;79.000;0.014
0.000;80.000;0.040
0.000;81.000;0.006
0.000;82.000;0.010
0.000;83.000;0.007
0.000;84.000;0.009
0.000;85.000;0.007
0.000;86.000;0.006
0.000;87.000;0.012
0.000;88.000;0.004
0.000;89.000;0.016
0.000;90.000;0.019
0.000;91.000;0.004
0.000;92.000;0.018
0.000;93.000;0.032
0.000;94.000;0.013
0.000;95.000;0.004
0.000;96.000;0.011
0.000;97.000;0.006
0.000;98.000;0.007
0.000;99.000;0.008
0.000;100.000;0.005
0.000;101.000;0.006
0.000;102.000;0.010
0.000;103.000;0.013
0.000;104.000;0.009
0.000;105.000;0.013
0.000;106.000;0.005
0.000;107.000;0.036
0.000;108.000;0.006
0.000;109.000;0.006
0.000;110.000;0.010
0.000;111.000;0.006
0.000;112.000;0.008
0.000;113.000;0.007
0.000;114.000;0.004
0.000;115.000;0.031
0.000;116.000;0.005
0.000;117.000;0.017
0.000;118.000;0.037
0.000;119.000;0.029
0.000;120.000;0.012
0.000;121.000;0.008
0.000;122.000;0.008
0.000;123.000;0.017
0.000;124.000;0.046
0.000;125.000;0.006
0.000;126.000;0.007
0.000;127.000;0.003
0.000;128.000;0.009
0.000;129.000;0.009
0.000;130.000;0.005
0.000;131.000;0.026
0.000;132.000;0.013
0.000;133.000;0.005
0.000;134.000;0.050
0.000;135.000;0.038
0.000;136.000;0.008
0.000;137.000;0.055
0.000;138.000;0.020
0.000;139.000;0.040
0.000;140.000;0.036
0.000;141.000;0.009
0.000;142.000;0.041
0.000;143.000;0.024
0.000;144.000;0.020
0.000;145.000;0.012
0.000;146.000;0.005
1.000;0.000;0.012
1.000;1.000;0.028
1.000;2.000;0.005
1.000;3.000;0.020
1.000;4.000;0.006
1.000;5.000;0.030
1.000;6.000;0.028
1.000;7.000;0.007
1.000;8.000;0.005
1.000;9.000;0.007
1.000;10.000;0.004
1.000;11.000;0.004
1.000;12.000;0.028
1.000;13.000;0.006
1.000;14.000;0.004
1.000;15.000;0.007
1.000;16.000;0.004
1.000;17.000;0.005
1.000;18.000;0.005
1.000;19.000;0.011
1.000;20.000;0.026
1.000;21.000;0.003
1.000;22.000;0.010
1.000;23.000;0.006
1.000;24.000;0.007
1.000;25.000;0.004
1.000;26.000;0.005
1.000;27.000;0.020
1.000;28.000;0.009
1.000;29.000;0.028
1.000;30.000;0.006
1.000;31.000;0.004
1.000;32.000;0.005
1.000;33.000;0.013
1.000;34.000;0.006
1.000;35.000;0.040
1.000;36.000;0.005
1.000;37.000;0.028
1.000;38.000;0.005
1.000;39.000;0.005
1.000;40.000;0.005
1.000;41.000;0.006
1.000;42.000;0.005
1.000;43.000;0.004
1.000;44.000;0.007
1.000;45.000;0.049
1.000;46.000;0.004
1.000;47.000;0.021
1.000;48.000;0.011
1.000;49.000;0.008
1.000;50.000;0.019
1.000;51.000;0.022
1.000;52.000;0.009
1.000;53.000;0.008
1.000;54.000;0.009
1.000;55.000;0.007
1.000;56.000;0.033
1.000;57.000;0.019
1.000;58.000;0.005
1.000;59.000;0.005
1.000;60.000;0.004
1.000;61.000;0.003
1.000;62.000;0.008
1.000;63.000;0.003
1.000;64.000;0.013
1.000;65.000;0.033
1.000;66.000;0.004
1.000;67.000;0.010
1.000;68.000;0.003
1.000;69.000;0.002
1.000;70.000;0.003
1.000;71.000;0.003
1.000;72.000;0.005
1.000;73.000;0.039
1.000;74.000;0.009
1.000;75.000;0.008
1.000;76.000;0.004
1.000;77.000;0.003
1.000;78.000;0.024
1.000;79.000;0.006
1.000;80.000;0.010
1.000;81.000;0.034
1.000;82.000;0.005
1.000;83.000;0.016
1.000;84.000;0.005
1.000;85.000;0.014
1.000;86.000;0.006
1.000;87.000;0.008
1.000;88.000;0.024
1.000;89.000;0.003
1.000;90.000;0.005
1.000;91.000;0.028
1.000;92.000;0.005
1.000;93.000;0.010
1.000;94.000;0.012
1.000;95.000;0.004
1.000;96.000;0.013
1.000;97.000;0.020
1.000;98.000;0.029
1.000;99.000;0.012
1.000;100.000;0.004
1.000;101.000;0.021
1.000;102.000;0.010
1.000;103.000;0.006
1.000;104.000;0.017
1.000;105.000;0.004
1.000;106.000;0.006
1.000;107.000;0.003
1.000;108.000;0.024
1.000;109.000;0.023
1.000;110.000;0.003
1.000;111.000;0.013
1.000;112.000;0.006
1.000;113.000;0.008
1.000;114.000;0.026
1.000;115.000;0.005
1.000;116.000;0.005
1.000;117.000;0.003
1.000;118.000;0.005
1.000;119.000;0.003
1.000;120.000;0.002
1.000;121.000;0.005
1.000;122.000;0.004
1.000;123.000;0.004
1.000;124.000;0.004
1.000;125.000;0.003
1.000;126.000;0.002
1.000;127.000;0.005
1.000;128.000;0.002
1.000;129.000;0.013
1.000;130.000;0.002
1.000;131.000;0.003
1.000;132.000;0.004
1.000;133.000;0.004
1.000;134.000;0.005
1.000;135.000;0.003
1.000;136.000;0.007
1.000;137.000;0.003
1.000;138.000;0.002
1.000;139.000;0.005
1.000;140.000;0.004
1.000;141.000;0.006
1.000;142.000;0.003
1.000;143.000;0.022
1.000;144.000;0.004
1.000;145.000;0.003
1.000;146.000;0.004
2.000;0.000;0.003
2.000;1.000;0.003
2.000;2.000;0.003
2.000;3.000;0.002
2.000;4.000;0.002
2.000;5.000;0.003
2.000;6.000;0.005
2.000;7.000;0.003
2.000;8.000;0.002
2.000;9.000;0.004
2.000;10.000;0.010
2.000;11.000;0.007
2.000;12.000;0.019
2.000;13.000;0.004
2.000;14.000;0.019
2.000;15.000;0.007
2.000;16.000;0.010
2.000;17.000;0.005
2.000;18.000;0.006
2.000;19.000;0.011
2.000;20.000;0.005
2.000;21.000;0.003
2.000;22.000;0.030
2.000;23.000;0.018
2.000;24.000;0.003
2.000;25.000;0.008
2.000;26.000;0.006
2.000;27.000;0.017
2.000;28.000;0.010
2.000;29.000;0.019
2.000;30.000;0.008
2.000;31.000;0.009
2.000;32.000;0.004
2.000;33.000;0.007
2.000;34.000;0.006
2.000;35.000;0.004
2.000;36.000;0.007
2.000;37.000;0.007
2.000;38.000;0.003
2.000;39.000;0.004
2.000;40.000;0.007
2.000;41.000;0.004
2.000;42.000;0.018
2.000;43.000;0.006
2.000;44.000;0.004
2.000;45.000;0.011
2.000;46.000;0.005
2.000;47.000;0.004
2.000;48.000;0.018
2.000;49.000;0.031
2.000;50.000;0.012
2.000;51.000;0.006
2.000;52.000;0.004
2.000;53.000;0.006
2.000;54.000;0.009
2.000;55.000;0.005
2.000;56.000;0.007
2.000;57.000;0.004
2.000;58.000;0.004
2.000;59.000;0.003
2.000;60.000;0.030
2.000;61.000;0.006
2.000;62.000;0.009
2.000;63.000;0.005
2.000;64.000;0.003
2.000;65.000;0.004
2.000;66.000;0.016
2.000;67.000;0.002
2.000;68.000;0.003
2.000;69.000;0.009
2.000;70.000;0.007
2.000;71.000;0.008
2.000;72.000;0.003
2.000;73.000;0.004
2.000;74.000;0.004
2.000;75.000;0.003
2.000;76.000;0.003
2.000;77.000;0.026
2.000;78.000;0.006
2.000;79.000;0.011
2.000;80.000;0.005
2.000;81.000;0.005
2.000;82.000;0.002
2.000;83.000;0.007
2.000;84.000;0.008
2.000;85.000;0.009
2.000;86.000;0.008
2.000;87.000;0.006
2.000;88.000;0.005
2.000;89.000;0.003
2.000;90.000;0.002
2.000;91.000;0.006
2.000;92.000;0.012
2.000;93.000;0.034
2.000;94.000;0.022
2.000;95.000;0.007
2.000;96.000;0.013
2.000;97.000;0.011
2.000;98.000;0.002
2.000;99.000;0.003
2.000;100.000;0.005
2.000;101.000;0.009
2.000;102.000;0.007
2.000;103.000;0.003
2.000;104.000;0.003
2.000;105.000;0.005
2.000;106.000;0.023
2.000;107.000;0.021
2.000;108.000;0.004
2.000;109.000;0.013
2.000;110.000;0.008
2.000;111.000;0.004
2.000;112.000;0.007
2.000;113.000;0.002
2.000;114.000;0.004
2.000;115.000;0.004
2.000;116.000;0.022
2.000;117.000;0.004
2.000;118.000;0.005
2.000;119.000;0.002
2.000;120.000;0.004
2.000;121.000;0.003
2.000;122.000;0.004
2.000;123.000;0.003
2.000;124.000;0.010
2.000;125.000;0.004
2.000;126.000;0.002
2.000;127.000;0.003
2.000;128.000;0.006
2.000;129.000;0.004
2.000;130.000;0.005
2.000;131.000;0.005
2.000;132.000;0.018
2.000;133.000;0.002
2.000;134.000;0.004
2.000;135.000;0.006
2.000;136.000;0.003
2.000;137.000;0.005
2.000;138.000;0.003
2.000;139.000;0.003
2.000;140.000;0.007
2.000;141.000;0.044
2.000;142.000;0.008
2.000;143.000;0.003
2.000;144.000;0.011
2.000;145.000;0.010
2.000;146.000;0.003
3.000;0.000;0.016
3.000;1.000;0.006
3.000;2.000;0.009
3.000;3.000;0.004
3.000;4.000;0.005
3.000;5.000;0.005
3.000;6.000;0.005
3.000;7.000;0.008
3.000;8.000;0.005
3.000;9.000;0.003
3.000;10.000;0.003
3.000;11.000;0.017
3.000;12.000;0.011
3.000;13.000;0.005
3.000;14.000;0.004
3.000;15.000;0.003
3.000;16.000;0.004
3.000;17.000;0.002
3.000;18.000;0.005
3.000;19.000;0.004
3.000;20.000;0.005
3.000;21.000;0.002
3.000;22.000;0.011
3.000;23.000;0.003
3.000;24.000;0.007
3.000;25.000;0.004
3.000;26.000;0.015
3.000;27.000;0.002
3.000;28.000;0.004
3.000;29.000;0.002
3.000;30.000;0.004
3.000;31.000;0.016
3.000;32.000;0.007
3.000;33.000;0.004
3.000;34.000;0.004
3.000;35.000;0.005
3.000;36.000;0.003
3.000;37.000;0.003
3.000;38.000;0.005
3.000;39.000;0.010
3.000;40.000;0.009
3.000;41.000;0.003
3.000;42.000;0.002
3.000;43.000;0.003
3.000;44.000;0.005
3.000;45.000;0.005
3.000;46.000;0.005
3.000;47.000;0.005
3.000;48.000;0.007
3.000;49.000;0.003
3.000;50.000;0.003
3.000;51.000;0.006
3.000;52.000;0.007
